INSTRUMENT_ID	TYPE	TRADING_PRICE_30_DAY	TRADING_PRICE_30_DAY_DATETIME	MAST_DEBT_NUM
1	Senior Unsecured Bonds	78.58	1991-09-21 00:00:00	714560
2	Term Loan	0	0	867451
3	Senior Unsecured Bonds	12.79	2009-06-30 00:00:00	478812
4	Term Loan	0	0	481237
5	Revolver	0	0	516005
6	Revolver	0	0	732591
7	Senior Secured Bonds	29.32	1991-06-30 00:00:00	101580
8	Revolver	36.35	2003-08-15 00:00:00	866956
9	Revolver	89.88	2004-04-20 00:00:00	224711
10	Revolver	0	0	879631
11	Term Loan	0	0	640196
12	Revolver	0	0	868458
13	Term Loan	0	0	701003
14	Term Loan	0	0	340810
15	Term Loan	0	0	2875
16	Senior Unsecured Bonds	0	0	62106
17	Senior Subordi0ed Bonds	7.2	2000-12-31 00:00:00	816541
18	Term Loan	79.43	2001-11-05 00:00:00	435514
19	Term Loan	0	0	574502
20	Senior Subordi0ed Bonds	0	0	626513
21	Term Loan	67.15	2000-07-13 00:00:00	374343
22	Revolver	0	0	229994
23	Senior Unsecured Bonds	0	0	349190
24	Term Loan	104.38	2004-12-23 00:00:00	157719
25	Senior Unsecured Bonds	0	0	663147
26	Senior Unsecured Bonds	73.88	2011-12-12 00:00:00	633250
27	Senior Unsecured Bonds	0	0	683296
28	Revolver	0	0	855358
29	Term Loan	11.39	2011-09-24 00:00:00	285063
30	Senior Unsecured Bonds	39.05	2018-12-23 00:00:00	106044
31	Term Loan	45.14	2008-06-06 00:00:00	43354
32	Senior Unsecured Bonds	38.77	2012-12-06 00:00:00	862913
33	Term Loan	0	0	434251
34	Revolver	0	0	746989
35	Term Loan	0	0	692471
36	Senior Subordi0ed Bonds	0	0	711310
37	Term Loan	0	0	364541
38	Revolver	0	0	377964
39	Senior Subordi0ed Bonds	0	0	215128
40	Senior Secured Bonds	0	0	279894
41	Senior Subordi0ed Bonds	0	0	125493
42	Subordi0ed Bonds	110.77	1993-01-04 00:00:00	851294
43	Subordi0ed Bonds	0	0	213129
44	Term Loan	0	0	699589
45	Revolver	0	0	332976
46	Term Loan	0	0	234574
47	Senior Unsecured Bonds	30.45	1996-03-26 00:00:00	214314
48	Senior Unsecured Bonds	3.58	2002-03-09 00:00:00	269653
49	Senior Unsecured Bonds	0	0	713436
50	Senior Secured Bonds	0	0	220251
51	Senior Subordi0ed Bonds	0	0	246056
52	Senior Unsecured Bonds	0	0	470731
53	Term Loan	73.45	2001-02-09 00:00:00	303962
54	Senior Unsecured Bonds	0	0	264830
55	Revolver	0	0	881341
56	Revolver	0	0	220221
57	Revolver	0	0	729599
58	Subordi0ed Bonds	36.96	2000-07-20 00:00:00	185657
59	Term Loan	0	0	606930
60	Senior Subordi0ed Bonds	6.56	1991-02-27 00:00:00	775445
61	Senior Unsecured Bonds	0	0	343477
62	Senior Subordi0ed Bonds	30.07	2001-12-05 00:00:00	862956
63	Revolver	0	0	39525
64	Term Loan	33.2	2001-07-19 00:00:00	308064
65	Senior Subordi0ed Bonds	0	0	610342
66	Senior Unsecured Bonds	0	0	56548
67	Revolver	0	0	592640
68	Term Loan	86.41	2004-02-22 00:00:00	860537
69	Senior Unsecured Bonds	0	0	137034
70	Senior Unsecured Bonds	0	0	660184
71	Revolver	0	0	877576
72	Senior Secured Bonds	0	0	338716
73	Revolver	71.8	2002-03-19 00:00:00	392207
74	Senior Subordi0ed Bonds	2.9	2000-02-19 00:00:00	698897
75	Revolver	0	0	522026
76	Subordi0ed Bonds	0	0	622712
77	Revolver	0	0	777281
78	Term Loan	0	0	137824
79	Term Loan	0	0	639304
80	Term Loan	0	0	222741
81	Revolver	0	0	310499
82	Revolver	0	0	240537
83	Senior Secured Bonds	0	0	775927
84	Revolver	29	2020-04-21 00:00:00	714372
85	Senior Subordi0ed Bonds	0	0	723952
86	Subordi0ed Bonds	19.94	1988-06-15 00:00:00	498691
87	Revolver	22.94	2005-11-12 00:00:00	285416
88	Term Loan	0	0	687803
89	Senior Subordi0ed Bonds	0	0	246056
90	Senior Subordi0ed Bonds	0	0	169305
91	Term Loan	0	0	448993
92	Revolver	0	0	649782
93	Junior Subordi0ed Bonds	0	0	76570
94	Term Loan	0	0	511894
95	Senior Subordi0ed Bonds	34.23	2003-11-14 00:00:00	277692
96	Term Loan	0	0	708131
97	Revolver	0	0	447903
98	Term Loan	0	0	282444
99	Senior Unsecured Bonds	0	0	778707
100	Senior Secured Bonds	108.33	2005-10-21 00:00:00	678757
101	Revolver	0	0	479849
102	Revolver	0	0	47770
103	Term Loan	0	0	125829
104	Term Loan	0	0	262641
105	Revolver	0	0	83947
106	Senior Secured Bonds	0	0	155658
107	Revolver	0	0	48857
108	Senior Unsecured Bonds	0	0	253900
109	Revolver	0	0	64650
110	Senior Secured Bonds	0	0	408461
111	Senior Secured Bonds	0	0	280287
112	Revolver	0	0	516316
113	Senior Subordi0ed Bonds	43.19	1992-05-03 00:00:00	416892
114	Senior Unsecured Bonds	9.04	2000-11-01 00:00:00	745444
115	Subordi0ed Bonds	0	0	483297
116	Senior Unsecured Bonds	0	0	713493
117	Revolver	0	0	311768
118	Junior Subordi0ed Bonds	0	0	711850
119	Senior Subordi0ed Bonds	26.07	1990-03-03 00:00:00	885610
120	Senior Unsecured Bonds	0	0	455500
121	Junior Subordi0ed Bonds	0	0	76250
122	Term Loan	0	0	405103
123	Senior Unsecured Bonds	0	0	345047
124	Senior Unsecured Bonds	0	0	769808
125	Revolver	0	0	528133
126	Senior Unsecured Bonds	22.53	2006-09-06 00:00:00	374502
127	Revolver	30.6	2002-06-29 00:00:00	121704
128	Senior Unsecured Bonds	0	0	420050
129	Revolver	27.21	2020-07-08 00:00:00	122595
130	Senior Unsecured Bonds	82.79	1991-09-21 00:00:00	857540
131	Term Loan	0	0	879047
132	Senior Unsecured Bonds	24.47	2012-02-14 00:00:00	307019
133	Senior Secured Bonds	59.76	2002-01-21 00:00:00	165101
134	Senior Subordi0ed Bonds	0	0	141133
135	Term Loan	53.39	2009-12-03 00:00:00	367852
136	Senior Subordi0ed Bonds	0	0	699955
137	Senior Subordi0ed Bonds	0	0	153826
138	Term Loan	58.53	2020-07-14 00:00:00	95707
139	Senior Unsecured Bonds	7.59	2000-02-12 00:00:00	532846
140	Senior Unsecured Bonds	0	0	839541
141	Senior Secured Bonds	0	0	399945
142	Revolver	79.32	2003-03-08 00:00:00	697418
143	Revolver	0	0	885021
144	Subordi0ed Bonds	23.49	1993-10-20 00:00:00	215995
145	Senior Subordi0ed Bonds	0	0	820242
146	Senior Secured Bonds	0	0	413029
147	Revolver	0	0	809406
148	Senior Subordi0ed Bonds	0	0	613141
149	Senior Secured Bonds	58.89	1992-01-25 00:00:00	165681
150	Senior Secured Bonds	0	0	507580
151	Senior Subordi0ed Bonds	24.64	2011-11-18 00:00:00	508128
152	Senior Unsecured Bonds	0	0	696917
153	Senior Subordi0ed Bonds	4.39	2000-12-29 00:00:00	307092
154	Senior Secured Bonds	0	0	116967
155	Revolver	0	0	670570
156	Senior Secured Bonds	54.85	1995-11-19 00:00:00	581207
157	Senior Unsecured Bonds	0	0	374030
158	Senior Secured Bonds	0	0	298803
159	Senior Unsecured Bonds	91.17	2003-04-19 00:00:00	226910
160	Revolver	0	0	540214
161	Senior Unsecured Bonds	1.44	2001-07-16 00:00:00	501104
162	Term Loan	0	0	797908
163	Revolver	0	0	708160
164	Revolver	92.68	2002-12-24 00:00:00	322949
165	Senior Secured Bonds	53.48	2020-08-30 00:00:00	116804
166	Senior Unsecured Bonds	3.01	2000-12-30 00:00:00	187942
167	Senior Unsecured Bonds	0	0	78699
168	Revolver	0	0	483848
169	Revolver	0	0	753348
170	Term Loan	46.03	2002-07-27 00:00:00	317802
171	Revolver	0	0	842433
172	Senior Secured Bonds	0	0	347565
173	Term Loan	0	0	795668
174	Senior Secured Bonds	0	0	553935
175	Senior Unsecured Bonds	45.55	2003-09-05 00:00:00	34040
176	Senior Subordi0ed Bonds	0	0	688134
177	Senior Secured Bonds	76.19	2011-12-20 00:00:00	586915
178	Revolver	97.73	2003-07-19 00:00:00	327158
179	Term Loan	0	0	698093
180	Term Loan	0	0	424909
181	Senior Unsecured Bonds	0	0	601090
182	Term Loan	0	0	844865
183	Senior Unsecured Bonds	0	0	651446
184	Revolver	0	0	861800
185	Revolver	0	0	541304
186	Senior Unsecured Bonds	0	0	375142
187	Revolver	0	0	689419
188	Senior Unsecured Bonds	0	0	347152
189	Revolver	0	0	5744
190	Senior Unsecured Bonds	62.38	2003-09-07 00:00:00	704053
191	Senior Unsecured Bonds	0	0	539785
192	Revolver	0	0	261029
193	Revolver	0	0	461634
194	Term Loan	38.07	2002-11-17 00:00:00	635845
195	Senior Unsecured Bonds	94.7	2007-06-26 00:00:00	483823
196	Term Loan	0	0	560475
197	Senior Subordi0ed Bonds	0	0	775890
198	Term Loan	107.58	2004-07-10 00:00:00	776284
199	Revolver	66.59	2004-03-04 00:00:00	250971
200	Senior Secured Bonds	0	0	155349
