MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
7	2008-07-16 00:00:00	2009-12-22 00:00:00
19	2003-07-17 00:00:00	2006-10-11 00:00:00
31	1927-06-08 00:00:00	3000-01-07 00:00:00
38	2017-06-30 00:00:00	2017-07-06 00:00:00
38	2019-10-31 00:00:00	2019-12-26 00:00:00
43	1919-09-12 00:00:00	3000-01-10 00:00:00
52	1924-01-26 00:00:00	2999-12-24 00:00:00
61	1991-03-17 00:00:00	1992-06-16 00:00:00
65	1970-03-08 00:00:00	2999-12-23 00:00:00
70	1934-09-17 00:00:00	2999-12-16 00:00:00
72	1956-05-10 00:00:00	2999-12-22 00:00:00
79	2022-02-25 00:00:00	2023-02-24 00:00:00
87	1920-08-22 00:00:00	2999-12-21 00:00:00
100	1979-10-15 00:00:00	2999-12-22 00:00:00
103	2013-09-30 00:00:00	2018-10-08 00:00:00
104	2015-03-09 00:00:00	2015-04-09 00:00:00
122	1991-07-04 00:00:00	1996-07-03 00:00:00
126	1923-06-20 00:00:00	2999-12-20 00:00:00
133	2001-07-14 00:00:00	2002-07-13 00:00:00
153	1931-03-17 00:00:00	2999-12-15 00:00:00
161	2000-05-19 00:00:00	2000-12-21 00:00:00
162	1989-12-05 00:00:00	1990-10-04 00:00:00
162	1991-04-19 00:00:00	1991-11-18 00:00:00
166	2020-05-17 00:00:00	2020-08-29 00:00:00
175	2019-12-06 00:00:00	2019-12-12 00:00:00
175	2020-08-24 00:00:00	2020-11-05 00:00:00
192	2021-05-01 00:00:00	2021-05-07 00:00:00
202	1932-03-02 00:00:00	2999-12-31 00:00:00
210	1932-10-01 00:00:00	2999-12-16 00:00:00
213	2013-06-16 00:00:00	2018-07-28 00:00:00
215	1998-11-23 00:00:00	2000-11-26 00:00:00
221	1925-03-06 00:00:00	3000-01-04 00:00:00
226	2000-12-13 00:00:00	2006-09-08 00:00:00
228	2010-06-20 00:00:00	2011-06-19 00:00:00
238	2001-12-22 00:00:00	2002-12-21 00:00:00
245	1940-04-27 00:00:00	2999-12-18 00:00:00
256	1920-07-06 00:00:00	1924-07-06 00:00:00
272	1933-11-04 00:00:00	2999-12-17 00:00:00
283	2004-06-11 00:00:00	2005-06-10 00:00:00
288	1919-05-14 00:00:00	3000-01-13 00:00:00
291	1929-07-05 00:00:00	3000-01-04 00:00:00
298	1935-05-05 00:00:00	1944-03-25 00:00:00
306	1991-01-13 00:00:00	1991-01-19 00:00:00
315	1921-08-20 00:00:00	2999-12-19 00:00:00
318	1922-08-30 00:00:00	1923-08-30 00:00:00
332	1948-05-10 00:00:00	2999-12-27 00:00:00
339	1919-05-04 00:00:00	1920-07-04 00:00:00
339	1924-06-05 00:00:00	3000-01-03 00:00:00
351	1997-11-18 00:00:00	1999-03-21 00:00:00
352	2001-10-14 00:00:00	2002-10-13 00:00:00
367	1933-11-04 00:00:00	3000-01-02 00:00:00
368	2009-11-28 00:00:00	2010-11-27 00:00:00
383	1935-07-05 00:00:00	3000-01-03 00:00:00
386	2009-06-09 00:00:00	2010-03-10 00:00:00
398	2002-07-11 00:00:00	2003-11-07 00:00:00
402	1994-02-03 00:00:00	1997-04-25 00:00:00
402	2012-12-22 00:00:00	2013-12-21 00:00:00
409	2020-07-06 00:00:00	2021-01-11 00:00:00
410	1991-03-30 00:00:00	1992-12-21 00:00:00
411	1938-06-02 00:00:00	3000-01-01 00:00:00
414	1919-05-10 00:00:00	3000-01-09 00:00:00
417	2013-06-19 00:00:00	2013-06-25 00:00:00
425	1998-04-29 00:00:00	1999-04-28 00:00:00
431	1999-04-16 00:00:00	2000-04-19 00:00:00
456	2020-07-19 00:00:00	2020-07-25 00:00:00
476	1926-07-02 00:00:00	2999-12-31 00:00:00
495	2015-12-05 00:00:00	2015-12-12 00:00:00
514	1919-05-04 00:00:00	1923-07-04 00:00:00
523	2003-07-22 00:00:00	2004-11-07 00:00:00
526	1934-10-16 00:00:00	3000-01-14 00:00:00
